Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL,Size_m2,price_per_sqft,month
Lavington,townhouse,5,6.0,,440000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,6875000.0,2
Ridgeways,house,5,4.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,1328125.0,2
Buruburu,townhouse,4,3.0,120 m²,15900000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,120.0,132500.0,2
Loresho,house,4,4.0,,105000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,1640625.0,2
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,1171875.0,2
Lavington,townhouse,5,6.0,,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,1265625.0,2
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,1328125.0,2
Lavington,townhouse,5,6.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,1562500.0,2
Lavington,townhouse,5,6.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,2109375.0,2
Lavington,villa,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,1171875.0,2
Nyari,house,5,6.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,2109375.0,2
Westlands,house,4,5.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,2343750.0,2
Runda,house,5,7.0,,125000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,1953125.0,2
Karen,villa,5,5.0,650 m²,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,650.0,230769.23076923078,2
Runda,house,4,4.0,,350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,5468750.0,2
Kiambu Road,house,4,5.0,5.000 ft²,34500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,0.464515,74271013.85315867,2
Lavington,townhouse,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,1171875.0,2
Kitisuru,townhouse,4,5.0,,39000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,609375.0,2
Lower Kabete,villa,5,6.0,,175000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,2734375.0,2
Runda,villa,6,8.0,,260000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,4062500.0,2
Runda,house,7,7.0,,155000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,2421875.0,2
Nyari,house,5,5.0,7.000 ft²,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,0.650321,207589790.27280372,2
Runda,house,4,5.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,1562500.0,2
Riverside,house,6,5.0,5.000 ft²,70000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,0.464515,150694810.7165538,2
Karen,villa,6,6.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,2031250.0,2
